index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-7e1ab809-3669-9615-41ad-431040847bff,535.154.05,NVIDIA A800-SXM4-80GB,1321423020298,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory
229509,[Not Found],GPU-7e1ab809-3669-9615-41ad-431040847bff,NVIDIA A800-SXM4-80GB,32328

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,45,81920,32356,48872,2025/06/13 17:49:22.942
0,40,81920,32862,48366,2025/06/13 17:49:27.979
0,45,81920,32862,48366,2025/06/13 17:49:33.009
0,59,81920,32862,48366,2025/06/13 17:49:38.045
0,62,81920,32862,48366,2025/06/13 17:49:43.082
0,52,81920,32862,48366,2025/06/13 17:49:48.131
0,43,81920,32862,48366,2025/06/13 17:49:53.156
0,47,81920,32862,48366,2025/06/13 17:49:58.186
0,46,81920,40622,40606,2025/06/13 17:50:03.215
0,81,81920,55902,25326,2025/06/13 17:50:08.248
0,100,81920,43134,38094,2025/06/13 17:50:13.279
0,100,81920,44030,37198,2025/06/13 17:50:18.307
0,99,81920,44030,37198,2025/06/13 17:50:23.336
0,100,81920,44030,37198,2025/06/13 17:50:28.362
0,100,81920,44030,37198,2025/06/13 17:50:33.391
0,100,81920,44030,37198,2025/06/13 17:50:38.419
0,99,81920,44030,37198,2025/06/13 17:50:43.447
0,99,81920,44030,37198,2025/06/13 17:50:48.484
0,99,81920,44030,37198,2025/06/13 17:50:53.512
0,99,81920,44030,37198,2025/06/13 17:50:58.542
0,100,81920,46974,34254,2025/06/13 17:51:03.572
0,99,81920,46974,34254,2025/06/13 17:51:08.606
0,100,81920,46974,34254,2025/06/13 17:51:13.629
0,99,81920,46974,34254,2025/06/13 17:51:18.655
0,99,81920,46974,34254,2025/06/13 17:51:23.685
0,100,81920,46974,34254,2025/06/13 17:51:28.723
0,100,81920,46974,34254,2025/06/13 17:51:33.752
0,100,81920,46974,34254,2025/06/13 17:51:38.781
0,100,81920,46974,34254,2025/06/13 17:51:43.809
0,100,81920,46974,34254,2025/06/13 17:51:48.838
0,100,81920,46974,34254,2025/06/13 17:51:53.869
0,100,81920,46974,34254,2025/06/13 17:51:58.896
0,52,81920,43144,38084,2025/06/13 17:52:03.925
0,0,81920,43144,38084,2025/06/13 17:52:08.968
0,0,81920,43144,38084,2025/06/13 17:52:13.998
0,0,81920,43144,38084,2025/06/13 17:52:19.027
0,0,81920,43144,38084,2025/06/13 17:52:24.056
0,0,81920,43144,38084,2025/06/13 17:52:29.085
0,0,81920,43144,38084,2025/06/13 17:52:34.116
0,0,81920,43144,38084,2025/06/13 17:52:39.145
0,0,81920,43144,38084,2025/06/13 17:52:44.171
0,0,81920,43144,38084,2025/06/13 17:52:49.210
0,0,81920,43144,38084,2025/06/13 17:52:54.244
0,0,81920,43144,38084,2025/06/13 17:52:59.280
0,0,81920,43144,38084,2025/06/13 17:53:04.319
0,0,81920,43144,38084,2025/06/13 17:53:09.343
0,0,81920,43144,38084,2025/06/13 17:53:14.371
0,0,81920,43144,38084,2025/06/13 17:53:19.400
0,0,81920,43144,38084,2025/06/13 17:53:24.440
0,0,81920,43144,38084,2025/06/13 17:53:29.470
0,0,81920,43144,38084,2025/06/13 17:53:34.509
0,98,81920,46562,34666,2025/06/13 17:53:39.544
0,98,81920,46562,34666,2025/06/13 17:53:44.576
0,98,81920,46562,34666,2025/06/13 17:53:49.608
0,74,81920,52036,29192,2025/06/13 17:53:54.644
0,98,81920,52406,28822,2025/06/13 17:53:59.690
0,98,81920,52406,28822,2025/06/13 17:54:04.727
0,39,81920,52454,28774,2025/06/13 17:54:09.767
0,100,81920,74582,6646,2025/06/13 17:54:14.799
0,100,81920,75176,6052,2025/06/13 17:54:19.828
0,89,81920,75176,6052,2025/06/13 17:54:24.921
0,100,81920,68440,12788,2025/06/13 17:54:29.950
0,100,81920,78030,3198,2025/06/13 17:54:35.004
0,100,81920,67400,13828,2025/06/13 17:54:40.248
0,100,81920,76554,4674,2025/06/13 17:54:45.284
0,98,81920,76554,4674,2025/06/13 17:54:50.317
0,100,81920,68622,12606,2025/06/13 17:54:55.385
0,100,81920,76046,5182,2025/06/13 17:55:00.421
0,100,81920,76046,5182,2025/06/13 17:55:05.449
0,100,81920,75892,5336,2025/06/13 17:55:10.525
0,58,81920,76190,5038,2025/06/13 17:55:15.553
0,44,81920,76190,5038,2025/06/13 17:55:20.577
0,49,81920,76190,5038,2025/06/13 17:55:25.607
0,48,81920,76190,5038,2025/06/13 17:55:30.642
0,49,81920,76190,5038,2025/06/13 17:55:35.669
0,50,81920,76190,5038,2025/06/13 17:55:40.698
0,100,81920,51444,29784,2025/06/13 17:55:46.749
0,0,81920,10794,70434,2025/06/13 17:56:02.189
0,0,81920,10794,70434,2025/06/13 17:56:07.228
0,0,81920,10794,70434,2025/06/13 17:56:12.266
0,0,81920,10794,70434,2025/06/13 17:56:17.301
0,0,81920,10794,70434,2025/06/13 17:56:22.337
0,0,81920,10794,70434,2025/06/13 17:56:27.363
0,0,81920,10794,70434,2025/06/13 17:56:32.393
0,0,81920,10794,70434,2025/06/13 17:56:37.428
0,0,81920,10794,70434,2025/06/13 17:56:42.465
0,0,81920,10794,70434,2025/06/13 17:56:47.511
0,0,81920,10794,70434,2025/06/13 17:56:52.551
0,0,81920,10794,70434,2025/06/13 17:56:57.582
0,0,81920,10794,70434,2025/06/13 17:57:02.619
0,0,81920,10794,70434,2025/06/13 17:57:07.660
0,0,81920,10794,70434,2025/06/13 17:57:12.700
0,0,81920,10794,70434,2025/06/13 17:57:17.746
0,0,81920,10794,70434,2025/06/13 17:57:22.785
0,0,81920,10794,70434,2025/06/13 17:57:27.818
0,0,81920,10794,70434,2025/06/13 17:57:32.857
0,0,81920,10794,70434,2025/06/13 17:57:37.889
0,0,81920,10794,70434,2025/06/13 17:57:42.924
0,0,81920,10794,70434,2025/06/13 17:57:47.965
0,0,81920,10794,70434,2025/06/13 17:57:53.004
0,0,81920,10794,70434,2025/06/13 17:57:58.036
0,0,81920,10794,70434,2025/06/13 17:58:03.068
0,0,81920,10794,70434,2025/06/13 17:58:08.136
0,0,81920,10794,70434,2025/06/13 17:58:13.164
0,0,81920,10794,70434,2025/06/13 17:58:18.196
0,0,81920,10794,70434,2025/06/13 17:58:23.232
0,0,81920,10794,70434,2025/06/13 17:58:28.268
0,0,81920,10794,70434,2025/06/13 17:58:33.301
0,0,81920,10794,70434,2025/06/13 17:58:38.331
0,0,81920,10794,70434,2025/06/13 17:58:43.357
0,0,81920,10794,70434,2025/06/13 17:58:48.395
0,0,81920,10794,70434,2025/06/13 17:58:53.427
0,0,81920,10794,70434,2025/06/13 17:58:58.463
0,0,81920,10794,70434,2025/06/13 17:59:03.499
0,0,81920,10794,70434,2025/06/13 17:59:08.531
0,0,81920,10794,70434,2025/06/13 17:59:13.561
0,0,81920,10794,70434,2025/06/13 17:59:18.600
0,0,81920,10794,70434,2025/06/13 17:59:23.632
0,0,81920,10794,70434,2025/06/13 17:59:28.673
0,0,81920,10794,70434,2025/06/13 17:59:33.713
0,0,81920,10794,70434,2025/06/13 17:59:38.748
0,0,81920,10794,70434,2025/06/13 17:59:43.782
0,0,81920,10794,70434,2025/06/13 17:59:48.816
0,0,81920,10794,70434,2025/06/13 17:59:53.853
0,0,81920,10794,70434,2025/06/13 17:59:58.884
0,0,81920,10794,70434,2025/06/13 18:00:03.923
0,0,81920,10794,70434,2025/06/13 18:00:08.962
0,0,81920,10794,70434,2025/06/13 18:00:13.999
0,0,81920,10794,70434,2025/06/13 18:00:19.025
0,0,81920,10794,70434,2025/06/13 18:00:24.065
0,0,81920,10794,70434,2025/06/13 18:00:29.096
0,0,81920,10794,70434,2025/06/13 18:00:34.131
0,0,81920,10794,70434,2025/06/13 18:00:39.168
0,0,81920,10794,70434,2025/06/13 18:00:44.208
0,0,81920,10794,70434,2025/06/13 18:00:49.239
0,0,81920,10794,70434,2025/06/13 18:00:54.275
